spot,prix,erreur_std_prix_pct,vega_total_pct,erreur_std_vega_total_pct,vega_leg_sans_pdi_pct,vega_leg_pdi_pct
40.000000,34.456186,0.068228,47.543198,1.271049,57.540809,9.997611
45.000000,40.272938,0.078653,49.479648,1.399099,69.785055,20.305407
50.000000,46.418359,0.088099,47.711368,1.502815,78.517554,30.806186
55.000000,52.883880,0.096225,41.183734,1.573024,82.522575,41.338841
60.000000,59.328132,0.102358,32.051609,1.652736,81.708764,49.657154
65.000000,65.634650,0.106064,19.219164,1.673810,76.401517,57.182353
70.000000,71.965055,0.107992,4.640346,1.666433,63.861698,59.221352
75.000000,78.057425,0.107820,-18.079780,1.555836,44.578953,62.658733
80.000000,83.612456,0.105217,-35.349073,1.425166,26.862681,62.211753
85.000000,88.571706,0.100707,-50.544714,1.244169,13.407539,63.952253
90.000000,93.034543,0.094120,-61.310501,0.987246,1.344854,62.655355
95.000000,96.969179,0.086435,-67.548407,0.796207,-7.155033,60.393374
100.000000,99.970713,0.077848,-68.388579,0.801721,-9.762552,58.626027
105.000000,102.650622,0.068441,-64.487019,1.001887,-10.072097,54.414922
110.000000,104.425735,0.059707,-58.872342,1.089131,-9.718253,49.154088
115.000000,105.910940,0.050953,-49.913922,1.106726,-7.400022,42.513900
120.000000,106.860000,0.042958,-42.061745,1.092351,-5.310597,36.751148
125.000000,107.586969,0.035774,-33.730037,1.020645,-3.901695,29.828343
130.000000,108.070404,0.029520,-24.440055,0.920001,-1.692243,22.747812
