spot,prix,delta,vega,vanna
40.000000,58.713170,-0.970445,0.000050,0.000036
40.250000,58.470559,-0.970445,0.000060,0.000043
40.500000,58.227948,-0.970445,0.000072,0.000051
40.750000,57.985336,-0.970445,0.000086,0.000059
41.000000,57.742725,-0.970445,0.000102,0.000070
41.250000,57.500114,-0.970445,0.000121,0.000082
41.500000,57.257503,-0.970445,0.000143,0.000096
41.750000,57.014891,-0.970445,0.000168,0.000111
42.000000,56.772280,-0.970445,0.000199,0.000130
42.250000,56.529669,-0.970444,0.000234,0.000151
42.500000,56.287058,-0.970444,0.000274,0.000174
42.750000,56.044447,-0.970444,0.000321,0.000202
43.000000,55.801836,-0.970444,0.000375,0.000233
43.250000,55.559225,-0.970443,0.000438,0.000268
43.500000,55.316614,-0.970443,0.000510,0.000309
43.750000,55.074004,-0.970443,0.000593,0.000354
44.000000,54.831393,-0.970442,0.000688,0.000406
44.250000,54.588782,-0.970442,0.000796,0.000464
44.500000,54.346172,-0.970441,0.000920,0.000530
44.750000,54.103562,-0.970440,0.001062,0.000604
45.000000,53.860952,-0.970440,0.001223,0.000688
45.250000,53.618342,-0.970439,0.001407,0.000781
45.500000,53.375733,-0.970438,0.001615,0.000885
45.750000,53.133123,-0.970437,0.001850,0.001002
46.000000,52.890514,-0.970435,0.002117,0.001133
46.250000,52.647906,-0.970434,0.002418,0.001278
46.500000,52.405297,-0.970432,0.002757,0.001440
46.750000,52.162690,-0.970430,0.003139,0.001619
47.000000,51.920082,-0.970428,0.003569,0.001819
47.250000,51.677476,-0.970426,0.004050,0.002039
47.500000,51.434869,-0.970423,0.004590,0.002283
47.750000,51.192264,-0.970420,0.005194,0.002552
48.000000,50.949659,-0.970417,0.005868,0.002849
48.250000,50.707056,-0.970413,0.006621,0.003175
48.500000,50.464453,-0.970409,0.007459,0.003534
48.750000,50.221851,-0.970404,0.008391,0.003928
49.000000,49.979251,-0.970399,0.009426,0.004360
49.250000,49.736652,-0.970393,0.010574,0.004833
49.500000,49.494054,-0.970387,0.011846,0.005349
49.750000,49.251458,-0.970380,0.013252,0.005913
50.000000,49.008864,-0.970372,0.014806,0.006527
50.250000,48.766273,-0.970363,0.016520,0.007196
50.500000,48.523683,-0.970354,0.018409,0.007924
50.750000,48.281096,-0.970343,0.020487,0.008713
51.000000,48.038511,-0.970332,0.022771,0.009569
51.250000,47.795930,-0.970319,0.025277,0.010496
51.500000,47.553352,-0.970305,0.028025,0.011499
51.750000,47.310778,-0.970290,0.031033,0.012582
52.000000,47.068207,-0.970273,0.034323,0.013751
52.250000,46.825641,-0.970254,0.037916,0.015011
52.500000,46.583080,-0.970234,0.041836,0.016366
52.750000,46.340524,-0.970212,0.046107,0.017824
53.000000,46.097974,-0.970188,0.050756,0.019389
53.250000,45.855430,-0.970162,0.055811,0.021067
53.500000,45.612894,-0.970133,0.061300,0.022865
53.750000,45.370364,-0.970102,0.067254,0.024790
54.000000,45.127843,-0.970069,0.073705,0.026846
54.250000,44.885330,-0.970032,0.080688,0.029043
54.500000,44.642827,-0.969993,0.088238,0.031385
54.750000,44.400334,-0.969950,0.096392,0.033880
55.000000,44.157852,-0.969903,0.105191,0.036536
55.250000,43.915383,-0.969853,0.114674,0.039359
55.500000,43.672926,-0.969799,0.124884,0.042357
55.750000,43.430483,-0.969740,0.135866,0.045537
56.000000,43.188056,-0.969677,0.147668,0.048908
56.250000,42.945645,-0.969609,0.160336,0.052476
56.500000,42.703252,-0.969536,0.173922,0.056249
56.750000,42.460877,-0.969458,0.188477,0.060236
57.000000,42.218523,-0.969374,0.204057,0.064443
57.250000,41.976191,-0.969284,0.220717,0.068880
57.500000,41.733882,-0.969187,0.238516,0.073553
57.750000,41.491598,-0.969083,0.257513,0.078471
58.000000,41.249341,-0.968972,0.277771,0.083641
58.250000,41.007113,-0.968854,0.299354,0.089071
58.500000,40.764915,-0.968727,0.322327,0.094769
58.750000,40.522750,-0.968592,0.346760,0.100742
59.000000,40.280620,-0.968448,0.372721,0.106998
59.250000,40.038527,-0.968294,0.400281,0.113543
59.500000,39.796473,-0.968131,0.429516,0.120386
59.750000,39.554462,-0.967957,0.460499,0.127533
60.000000,39.312495,-1.743593,0.493307,7.568718
60.250000,38.682535,-2.520231,4.247786,15.033595
60.500000,38.052496,-2.519809,8.008115,15.044353
60.750000,37.422745,-2.517930,11.768007,15.030186
61.000000,36.793643,-2.514621,15.521290,14.991571
61.250000,36.165545,-2.509908,19.261918,14.929039
61.500000,35.538797,-2.503821,22.983982,14.843173
61.750000,34.913740,-2.496389,26.681726,14.734599
62.000000,34.290705,-2.487646,30.349557,14.603991
62.250000,33.670017,-2.477624,33.982054,14.452058
62.500000,33.051990,-2.466357,37.573978,14.279550
62.750000,32.436932,-2.453883,41.120282,14.087246
63.000000,31.825140,-2.440237,44.616118,13.875956
63.250000,31.216902,-2.425458,48.056844,13.646517
63.500000,30.612497,-2.409583,51.438028,13.399786
63.750000,30.012193,-2.392652,54.755457,13.136641
64.000000,29.416250,-2.374705,58.005139,12.857975
64.250000,28.824917,-2.355782,61.183306,12.564694
