spot,prix,erreur_std_prix_pct,vega_total_pct,erreur_std_vega_total_pct,vega_leg_sans_pdi_pct,vega_leg_pdi_pct
40.000000,34.461258,0.068274,0.476403,0.012729,0.576379,0.099976
45.000000,40.280874,0.078712,0.495939,0.014012,0.698993,0.203054
50.000000,46.429865,0.088169,0.478354,0.015051,0.786416,0.308062
55.000000,52.899464,0.096305,0.413076,0.015754,0.826464,0.413388
60.000000,59.347990,0.102446,0.321663,0.016551,0.818234,0.496572
65.000000,65.658415,0.106157,0.193175,0.016760,0.764998,0.571824
70.000000,71.992610,0.108086,0.047096,0.016685,0.639309,0.592214
75.000000,78.088158,0.107914,-0.180477,0.015576,0.446110,0.626587
80.000000,83.645220,0.105307,-0.353475,0.014266,0.268643,0.622118
85.000000,88.605466,0.100791,-0.505589,0.012453,0.133933,0.639523
90.000000,93.068221,0.094197,-0.613338,0.009879,0.013216,0.626554
95.000000,97.002266,0.086504,-0.675716,0.007967,-0.071782,0.603934
100.000000,100.002290,0.077908,-0.683991,0.008024,-0.097730,0.586260
105.000000,102.680647,0.068494,-0.644835,0.010028,-0.100686,0.544149
110.000000,104.453960,0.059752,-0.588593,0.010902,-0.097053,0.491541
115.000000,105.937648,0.050991,-0.498912,0.011077,-0.073773,0.425139
120.000000,106.885235,0.042989,-0.420340,0.010933,-0.052828,0.367511
125.000000,107.611114,0.035800,-0.337029,0.010216,-0.038745,0.298283
130.000000,108.093697,0.029541,-0.244139,0.009208,-0.016660,0.227478
