spot,prix,delta,vega,vanna
40.000000,58.713170,-0.970445,0.000001,0.000000
40.250000,58.470559,-0.970445,0.000001,0.000000
40.500000,58.227948,-0.970445,0.000001,0.000001
40.750000,57.985336,-0.970445,0.000001,0.000001
41.000000,57.742725,-0.970445,0.000001,0.000001
41.250000,57.500114,-0.970445,0.000001,0.000001
41.500000,57.257503,-0.970445,0.000001,0.000001
41.750000,57.014891,-0.970445,0.000002,0.000001
42.000000,56.772280,-0.970445,0.000002,0.000001
42.250000,56.529669,-0.970444,0.000002,0.000002
42.500000,56.287058,-0.970444,0.000003,0.000002
42.750000,56.044447,-0.970444,0.000003,0.000002
43.000000,55.801836,-0.970444,0.000004,0.000002
43.250000,55.559225,-0.970443,0.000004,0.000003
43.500000,55.316614,-0.970443,0.000005,0.000003
43.750000,55.074004,-0.970443,0.000006,0.000004
44.000000,54.831393,-0.970442,0.000007,0.000004
44.250000,54.588782,-0.970442,0.000008,0.000005
44.500000,54.346172,-0.970441,0.000009,0.000005
44.750000,54.103562,-0.970440,0.000011,0.000006
45.000000,53.860952,-0.970440,0.000012,0.000007
45.250000,53.618342,-0.970439,0.000014,0.000008
45.500000,53.375733,-0.970438,0.000016,0.000009
45.750000,53.133123,-0.970437,0.000019,0.000010
46.000000,52.890514,-0.970435,0.000021,0.000011
46.250000,52.647906,-0.970434,0.000024,0.000013
46.500000,52.405297,-0.970432,0.000028,0.000014
46.750000,52.162690,-0.970430,0.000031,0.000016
47.000000,51.920082,-0.970428,0.000036,0.000018
47.250000,51.677476,-0.970426,0.000041,0.000020
47.500000,51.434869,-0.970423,0.000046,0.000023
47.750000,51.192264,-0.970420,0.000052,0.000026
48.000000,50.949659,-0.970417,0.000059,0.000028
48.250000,50.707056,-0.970413,0.000066,0.000032
48.500000,50.464453,-0.970409,0.000075,0.000035
48.750000,50.221851,-0.970404,0.000084,0.000039
49.000000,49.979251,-0.970399,0.000094,0.000044
49.250000,49.736652,-0.970393,0.000106,0.000048
49.500000,49.494054,-0.970387,0.000118,0.000053
49.750000,49.251458,-0.970380,0.000133,0.000059
50.000000,49.008864,-0.970372,0.000148,0.000065
50.250000,48.766273,-0.970363,0.000165,0.000072
50.500000,48.523683,-0.970354,0.000184,0.000079
50.750000,48.281096,-0.970343,0.000205,0.000087
51.000000,48.038511,-0.970332,0.000228,0.000096
51.250000,47.795930,-0.970319,0.000253,0.000105
51.500000,47.553352,-0.970305,0.000280,0.000115
51.750000,47.310778,-0.970290,0.000310,0.000126
52.000000,47.068207,-0.970273,0.000343,0.000138
