spot,prix,delta,vega,vanna
40.000000,58.713170,-0.970445,0.000001,0.000000
40.250000,58.470559,-0.970445,0.000001,0.000000
40.500000,58.227948,-0.970445,0.000001,0.000001
49.500000,49.494054,-0.970387,0.000118,0.000053
49.750000,49.251458,-0.970380,0.000133,0.000059
50.000000,49.008864,-0.970372,0.000148,0.000065
50.250000,48.766273,-0.970363,0.000165,0.000072
50.500000,48.523683,-0.970354,0.000184,0.000079
59.500000,39.796473,-0.968131,0.004295,0.001204
59.750000,39.554462,-0.967957,0.004605,0.001275
60.000000,39.312495,-1.743593,0.004933,0.075687
60.250000,38.682535,-2.520231,0.042478,0.150336
60.500000,38.052496,-2.519809,0.080081,0.150444
69.500000,17.804592,-1.804745,1.071461,0.046205
69.750000,17.357190,-1.774447,1.082519,0.042266
70.000000,16.917376,-1.744048,1.092597,0.038367
70.250000,16.485172,-1.713579,1.101706,0.034513
70.500000,16.060590,-1.683068,1.109857,0.030708
79.500000,5.520103,-0.724420,0.928693,-0.051746
79.750000,5.341519,-0.704330,0.915669,-0.052429
80.000000,5.167907,-0.684646,0.902484,-0.053039
80.250000,4.999166,-0.665367,0.889154,-0.053579
80.500000,4.835193,-0.646493,0.875699,-0.054050
89.500000,1.328376,-0.202428,0.412263,-0.042169
89.750000,1.278652,-0.195408,0.401811,-0.041450
90.000000,1.230656,-0.188605,0.391538,-0.040727
90.250000,1.184334,-0.182013,0.381447,-0.040001
90.500000,1.139635,-0.175626,0.371538,-0.039273
99.500000,0.267814,-0.044720,0.127553,-0.016608
99.750000,0.256855,-0.042967,0.123459,-0.016143
100.000000,0.246326,-0.041278,0.119481,-0.015687
100.250000,0.236211,-0.039652,0.115615,-0.015242
100.500000,0.226495,-0.038087,0.111859,-0.014806
109.500000,0.047838,-0.008461,0.031506,-0.004670
109.750000,0.045768,-0.008104,0.030359,-0.004511
110.000000,0.043785,-0.007762,0.029250,-0.004357
110.250000,0.041887,-0.007433,0.028180,-0.004207
110.500000,0.040068,-0.007118,0.027147,-0.004062
119.500000,0.007880,-0.001445,0.006715,-0.001075
119.750000,0.007527,-0.001381,0.006451,-0.001035
120.000000,0.007189,-0.001320,0.006197,-0.000996
120.250000,0.006866,-0.001262,0.005953,-0.000958
120.500000,0.006558,-0.001206,0.005718,-0.000921
129.500000,0.001232,-0.000231,0.001297,-0.000218
129.750000,0.001175,-0.000220,0.001244,-0.000209
130.000000,0.001121,-0.000210,0.001193,-0.000201
