jour,indice_nu,indice_vt_20j,exposition_20j_pct,indice_vt_60j,exposition_60j_pct
0,100.000000,100.000000,100.000000,100.000000,100.000000
1,100.000000,100.000000,100.000000,100.000000,100.000000
2,100.000000,100.000000,100.000000,100.000000,100.000000
3,100.000000,100.000000,100.000000,100.000000,100.000000
4,100.000000,100.000000,100.000000,100.000000,100.000000
5,100.000000,100.000000,100.000000,100.000000,100.000000
6,100.000000,100.000000,100.000000,100.000000,100.000000
7,100.000000,100.000000,100.000000,100.000000,100.000000
8,100.000000,100.000000,100.000000,100.000000,100.000000
9,100.000000,100.000000,100.000000,100.000000,100.000000
10,100.000000,100.000000,100.000000,100.000000,100.000000
11,100.000000,100.000000,100.000000,100.000000,100.000000
12,100.000000,100.000000,100.000000,100.000000,100.000000
13,100.000000,100.000000,100.000000,100.000000,100.000000
14,100.000000,100.000000,100.000000,100.000000,100.000000
15,100.000000,100.000000,100.000000,100.000000,100.000000
16,100.000000,100.000000,100.000000,100.000000,100.000000
17,100.000000,100.000000,100.000000,100.000000,100.000000
18,100.000000,100.000000,100.000000,100.000000,100.000000
19,100.000000,100.000000,100.000000,100.000000,100.000000
20,100.000000,100.000000,150.000000,100.000000,100.000000
21,100.000000,99.995039,150.000000,100.000000,100.000000
22,100.000000,99.990079,150.000000,100.000000,100.000000
23,100.000000,99.985119,150.000000,100.000000,100.000000
24,100.000000,99.980159,150.000000,100.000000,100.000000
25,100.000000,99.975200,150.000000,100.000000,100.000000
26,100.000000,99.970240,150.000000,100.000000,100.000000
27,100.000000,99.965281,150.000000,100.000000,100.000000
28,100.000000,99.960322,150.000000,100.000000,100.000000
29,100.000000,99.955364,150.000000,100.000000,100.000000
30,100.000000,99.950405,150.000000,100.000000,100.000000
31,100.000000,99.945447,150.000000,100.000000,100.000000
32,100.000000,99.940489,150.000000,100.000000,100.000000
33,100.000000,99.935532,150.000000,100.000000,100.000000
34,100.000000,99.930574,150.000000,100.000000,100.000000
35,100.000000,99.925617,150.000000,100.000000,100.000000
36,100.000000,99.920661,150.000000,100.000000,100.000000
37,100.000000,99.915704,150.000000,100.000000,100.000000
38,100.000000,99.910747,150.000000,100.000000,100.000000
39,100.000000,99.905791,150.000000,100.000000,100.000000
40,100.000000,99.900835,150.000000,100.000000,100.000000
41,100.000000,99.895880,150.000000,100.000000,100.000000
42,100.000000,99.890924,150.000000,100.000000,100.000000
43,100.000000,99.885969,150.000000,100.000000,100.000000
44,100.000000,99.881014,150.000000,100.000000,100.000000
45,100.000000,99.876060,150.000000,100.000000,100.000000
46,100.000000,99.871105,150.000000,100.000000,100.000000
47,100.000000,99.866151,150.000000,100.000000,100.000000
48,100.000000,99.861197,150.000000,100.000000,100.000000
49,100.000000,99.856244,150.000000,100.000000,100.000000
50,100.000000,99.851290,150.000000,100.000000,100.000000
51,100.000000,99.846337,150.000000,100.000000,100.000000
52,100.000000,99.841384,150.000000,100.000000,100.000000
53,100.000000,99.836431,150.000000,100.000000,100.000000
54,100.000000,99.831479,150.000000,100.000000,100.000000
55,100.000000,99.826527,150.000000,100.000000,100.000000
56,100.000000,99.821575,150.000000,100.000000,100.000000
57,100.000000,99.816623,150.000000,100.000000,100.000000
58,100.000000,99.811671,150.000000,100.000000,100.000000
59,100.000000,99.806720,150.000000,100.000000,100.000000
60,100.000000,99.801769,150.000000,100.000000,150.000000
61,100.000000,99.796819,150.000000,99.995039,150.000000
62,100.000000,99.791868,150.000000,99.990079,150.000000
63,100.000000,99.786918,150.000000,99.985119,150.000000
64,100.000000,99.781968,150.000000,99.980159,150.000000
65,100.000000,99.777018,150.000000,99.975200,150.000000
66,98.232433,97.126631,150.000000,97.319548,150.000000
67,96.496110,94.546646,150.000000,94.734438,150.000000
68,94.790476,92.035193,144.628903,92.217997,150.000000
69,93.114992,89.678319,129.107120,89.768401,150.000000
70,91.469122,87.629221,119.264049,87.383873,150.000000
71,89.852344,85.780260,112.693934,85.062686,150.000000
72,88.264144,84.070488,108.272829,82.803157,150.000000
73,86.704016,82.460861,105.415522,80.603648,150.000000
74,85.171465,80.923933,103.806030,78.462565,147.144377
75,83.666003,79.438803,103.285696,76.418182,140.982436
76,82.187150,77.988274,103.806030,74.510765,135.786199
77,80.734438,76.557019,105.415522,72.719778,131.352630
78,79.307403,75.130129,108.272829,71.029148,127.535006
79,77.905591,73.691676,112.693934,69.426022,124.224449
80,76.528558,72.222853,119.264049,67.899931,121.338362
81,75.175865,70.698964,129.107120,66.442219,118.812924
82,73.847081,69.083533,144.628903,65.045627,116.598060
83,72.541785,67.314414,150.000000,63.703999,114.653975
84,71.259560,65.526334,150.000000,62.412057,112.948713
85,70.000000,63.785751,150.000000,61.165234,111.456402
86,71.259560,65.504202,118.476819,62.391217,105.140531
87,72.541785,66.899445,86.071413,63.571259,99.889616
88,73.847081,67.936471,72.314452,64.713886,95.441584
89,75.175865,68.822330,64.553560,65.825542,91.616598
90,76.528558,69.624162,59.632024,66.911239,88.286626
91,77.905591,70.374019,56.346967,67.974972,85.357724
92,79.307403,71.090583,54.136415,69.019989,82.759204
93,80.734438,71.786322,52.707761,70.048977,80.436730
94,82.187150,72.470518,51.903015,71.064195,78.347761
95,83.666003,73.150798,51.642848,72.067561,76.458461
96,85.171465,73.834059,51.903015,73.060730,74.741540
97,86.704016,74.527140,52.707761,74.045139,73.174713
98,88.264144,75.237458,54.136415,75.022051,71.739588
99,89.852344,75.973781,56.346967,75.992585,70.420833
100,91.469122,76.747363,59.632024,76.957742,69.205556
101,93.114992,77.573938,64.553560,77.918421,68.082834
102,94.790476,78.477732,72.314452,78.875438,67.043340
103,96.496110,79.501045,86.071413,79.829538,66.079064
104,98.232433,80.733412,118.476819,80.781405,65.183084
105,100.000000,82.453038,150.000000,81.731669,64.349384
106,100.000000,82.448948,150.000000,81.734559,64.349384
107,100.000000,82.444858,150.000000,81.737450,64.349384
108,100.000000,82.440768,144.628903,81.740341,64.349384
109,100.000000,82.437118,129.107120,81.743233,64.349384
110,100.000000,82.434737,119.264049,81.746124,64.349384
111,100.000000,82.433162,112.693934,81.749015,64.349384
112,100.000000,82.432123,108.272829,81.751906,64.349384
113,100.000000,82.431447,105.415522,81.754798,64.349384
114,100.000000,82.431004,103.806030,81.757690,64.349384
115,100.000000,82.430693,103.285696,81.760581,64.349384
116,100.000000,82.430424,103.806030,81.763473,64.349384
117,100.000000,82.430113,105.415522,81.766365,64.349384
118,100.000000,82.429670,108.272829,81.769257,64.349384
119,100.000000,82.428993,112.693934,81.772149,64.349384
120,100.000000,82.427955,119.264049,81.775041,64.349384
121,100.000000,82.426380,129.107120,81.777934,64.349384
122,100.000000,82.424000,144.628903,81.780826,64.349384
123,100.000000,82.420350,150.000000,81.783719,64.349384
124,100.000000,82.416262,150.000000,81.786611,64.349384
125,100.000000,82.412173,150.000000,81.789504,64.349384
126,100.000000,82.408085,150.000000,81.792397,65.183084
127,100.000000,82.403997,150.000000,81.795222,66.079064
128,100.000000,82.399910,150.000000,81.797975,67.043340
129,100.000000,82.395822,150.000000,81.800650,68.082834
130,100.000000,82.391735,150.000000,81.803240,69.205556
131,100.000000,82.387648,150.000000,81.805739,70.420833
132,100.000000,82.383561,150.000000,81.808140,71.739588
133,100.000000,82.379474,150.000000,81.810433,73.174713
134,100.000000,82.375388,150.000000,81.812611,74.741540
135,100.000000,82.371301,150.000000,81.814661,76.458461
136,100.000000,82.367215,150.000000,81.816572,78.347761
137,100.000000,82.363129,150.000000,81.818329,80.436730
138,100.000000,82.359044,150.000000,81.819917,82.759204
139,100.000000,82.354958,150.000000,81.821317,85.357724
140,100.000000,82.350873,150.000000,81.822505,88.286626
141,100.000000,82.346788,150.000000,81.823456,91.616598
142,100.000000,82.342703,150.000000,81.824137,95.441584
143,100.000000,82.338618,150.000000,81.824507,99.889616
144,100.000000,82.334534,150.000000,81.824516,105.140531
145,100.000000,82.330450,150.000000,81.824098,111.456402
146,100.000000,82.326366,150.000000,81.823168,112.948713
147,100.000000,82.322282,150.000000,81.822117,114.653975
148,100.000000,82.318198,150.000000,81.820928,116.598060
149,100.000000,82.314115,150.000000,81.819580,118.812924
150,100.000000,82.310031,150.000000,81.818053,121.338362
151,100.000000,82.305948,150.000000,81.816321,124.224449
152,100.000000,82.301865,150.000000,81.814355,127.535006
153,100.000000,82.297783,150.000000,81.812120,131.352630
154,100.000000,82.293700,150.000000,81.809575,135.786199
155,100.000000,82.289618,150.000000,81.806670,140.982436
156,100.000000,82.285536,150.000000,81.803344,147.144377
157,100.000000,82.281454,150.000000,81.799518,150.000000
158,100.000000,82.277373,150.000000,81.795460,150.000000
159,100.000000,82.273291,150.000000,81.791403,150.000000
160,100.000000,82.269210,150.000000,81.787346,150.000000
161,100.000000,82.265129,150.000000,81.783288,150.000000
